,year,county,deaths
0,2003,Albany,4
62,2004,Albany,7
124,2005,Albany,10
186,2006,Albany,10
248,2007,Albany,22
310,2008,Albany,18
372,2009,Albany,9
434,2010,Albany,15
496,2011,Albany,19
558,2012,Albany,14
620,2013,Albany,24
682,2014,Albany,23
744,2015,Albany,30
806,2016,Albany,28
868,2017,Albany,43
930,2018,Albany,45
992,2019,Albany,49
