,Year,Region,Race_or_Ethnicity,Sex,Age_Group,Opioid_Poisoning_Deaths,total
1405,2008,ROS,White Non Hispanic,F,19-Oct,11,27717
1406,2008,ROS,White Non Hispanic,F,25-34,22,27717
1407,2008,ROS,White Non Hispanic,F,55-64,30,27717
1408,2008,ROS,White Non Hispanic,F,35-44,47,27717
1409,2008,ROS,White Non Hispanic,F,45-54,78,27717
1414,2008,ROS,White Non Hispanic,M,85+,1,27717
1415,2008,ROS,White Non Hispanic,M,65-74,10,27717
1416,2008,ROS,White Non Hispanic,M,19-Oct,18,27717
1417,2008,ROS,White Non Hispanic,M,20-24,40,27717
1418,2008,ROS,White Non Hispanic,M,55-64,41,27717
1419,2008,ROS,White Non Hispanic,M,35-44,77,27717
1420,2008,ROS,White Non Hispanic,M,25-34,84,27717
1421,2008,ROS,White Non Hispanic,M,45-54,120,27717
1428,2009,NYC,Black Non Hispanic,F,9-Jan,1,27717
1429,2009,NYC,Black Non Hispanic,F,20-24,1,27717
1430,2009,NYC,Black Non Hispanic,F,65-74,1,27717
1431,2009,NYC,Black Non Hispanic,F,55-64,6,27717
1432,2009,NYC,Black Non Hispanic,F,35-44,7,27717
1433,2009,NYC,Black Non Hispanic,F,45-54,12,27717
1441,2009,NYC,Black Non Hispanic,M,65-74,1,27717
1442,2009,NYC,Black Non Hispanic,M,25-34,3,27717
1443,2009,NYC,Black Non Hispanic,M,35-44,9,27717
1444,2009,NYC,Black Non Hispanic,M,45-54,13,27717
1445,2009,NYC,Black Non Hispanic,M,55-64,17,27717
1453,2009,NYC,Hispanic,F,65-74,1,27717
1454,2009,NYC,Hispanic,F,55-64,4,27717
1455,2009,NYC,Hispanic,F,25-34,5,27717
1456,2009,NYC,Hispanic,F,35-44,11,27717
1457,2009,NYC,Hispanic,F,45-54,14,27717
1464,2009,NYC,Hispanic,M,65-74,2,27717
1465,2009,NYC,Hispanic,M,20-24,4,27717
1466,2009,NYC,Hispanic,M,55-64,11,27717
1467,2009,NYC,Hispanic,M,25-34,17,27717
1468,2009,NYC,Hispanic,M,45-54,22,27717
1469,2009,NYC,Hispanic,M,35-44,26,27717
1489,2009,NYC,Not Stated,M,45-54,1,27717
1490,2009,NYC,Not Stated,M,25-34,2,27717
1520,2009,NYC,White Non Hispanic,F,65-74,1,27717
1521,2009,NYC,White Non Hispanic,F,19-Oct,3,27717
1522,2009,NYC,White Non Hispanic,F,20-24,3,27717
1523,2009,NYC,White Non Hispanic,F,25-34,8,27717
1524,2009,NYC,White Non Hispanic,F,55-64,11,27717
1525,2009,NYC,White Non Hispanic,F,45-54,15,27717
1526,2009,NYC,White Non Hispanic,F,35-44,19,27717
1531,2009,NYC,White Non Hispanic,M,65-74,1,27717
1532,2009,NYC,White Non Hispanic,M,75-84,1,27717
1533,2009,NYC,White Non Hispanic,M,19-Oct,2,27717
1534,2009,NYC,White Non Hispanic,M,20-24,8,27717
1535,2009,NYC,White Non Hispanic,M,55-64,24,27717
1536,2009,NYC,White Non Hispanic,M,35-44,31,27717
1537,2009,NYC,White Non Hispanic,M,25-34,32,27717
1538,2009,NYC,White Non Hispanic,M,45-54,53,27717
1545,2009,ROS,Black Non Hispanic,F,19-Oct,1,27717
1546,2009,ROS,Black Non Hispanic,F,20-24,1,27717
1547,2009,ROS,Black Non Hispanic,F,25-34,1,27717
1548,2009,ROS,Black Non Hispanic,F,55-64,2,27717
1549,2009,ROS,Black Non Hispanic,F,35-44,3,27717
1550,2009,ROS,Black Non Hispanic,F,45-54,4,27717
1558,2009,ROS,Black Non Hispanic,M,25-34,1,27717
1559,2009,ROS,Black Non Hispanic,M,65-74,1,27717
1560,2009,ROS,Black Non Hispanic,M,55-64,2,27717
1561,2009,ROS,Black Non Hispanic,M,35-44,4,27717
1562,2009,ROS,Black Non Hispanic,M,45-54,4,27717
1569,2009,ROS,Hispanic,F,9-Jan,1,27717
1570,2009,ROS,Hispanic,F,19-Oct,1,27717
1571,2009,ROS,Hispanic,F,25-34,1,27717
1572,2009,ROS,Hispanic,F,45-54,1,27717
1573,2009,ROS,Hispanic,F,55-64,2,27717
1574,2009,ROS,Hispanic,F,35-44,4,27717
1582,2009,ROS,Hispanic,M,20-24,2,27717
1583,2009,ROS,Hispanic,M,55-64,2,27717
1584,2009,ROS,Hispanic,M,45-54,4,27717
1585,2009,ROS,Hispanic,M,35-44,5,27717
1586,2009,ROS,Hispanic,M,25-34,7,27717
1608,2009,ROS,Not Stated,M,20-24,1,27717
1609,2009,ROS,Not Stated,M,25-34,1,27717
1610,2009,ROS,Not Stated,M,45-54,1,27717
1622,2009,ROS,Other Non Hispanic,F,20-24,1,27717
1632,2009,ROS,Other Non Hispanic,M,19-Oct,1,27717
1633,2009,ROS,Other Non Hispanic,M,20-24,1,27717
1634,2009,ROS,Other Non Hispanic,M,45-54,2,27717
1639,2009,ROS,White Non Hispanic,F,75-84,1,27717
1640,2009,ROS,White Non Hispanic,F,19-Oct,4,27717
1641,2009,ROS,White Non Hispanic,F,65-74,5,27717
1642,2009,ROS,White Non Hispanic,F,20-24,15,27717
1643,2009,ROS,White Non Hispanic,F,55-64,23,27717
1644,2009,ROS,White Non Hispanic,F,25-34,29,27717
1645,2009,ROS,White Non Hispanic,F,35-44,37,27717
1646,2009,ROS,White Non Hispanic,F,45-54,73,27717
1650,2009,ROS,White Non Hispanic,M,85+,1,27717
1651,2009,ROS,White Non Hispanic,M,65-74,2,27717
1652,2009,ROS,White Non Hispanic,M,75-84,2,27717
1653,2009,ROS,White Non Hispanic,M,19-Oct,16,27717
1654,2009,ROS,White Non Hispanic,M,55-64,31,27717
1655,2009,ROS,White Non Hispanic,M,20-24,45,27717
1656,2009,ROS,White Non Hispanic,M,25-34,86,27717
1657,2009,ROS,White Non Hispanic,M,35-44,88,27717
1658,2009,ROS,White Non Hispanic,M,45-54,106,27717
1665,2010,NYC,Black Non Hispanic,F,19-Oct,1,27717
1666,2010,NYC,Black Non Hispanic,F,55-64,2,27717
1667,2010,NYC,Black Non Hispanic,F,65-74,2,27717
1668,2010,NYC,Black Non Hispanic,F,25-34,3,27717
1669,2010,NYC,Black Non Hispanic,F,35-44,4,27717
1670,2010,NYC,Black Non Hispanic,F,45-54,11,27717
1677,2010,NYC,Black Non Hispanic,M,25-34,1,27717
1678,2010,NYC,Black Non Hispanic,M,75-84,1,27717
1679,2010,NYC,Black Non Hispanic,M,65-74,2,27717
1680,2010,NYC,Black Non Hispanic,M,35-44,4,27717
1681,2010,NYC,Black Non Hispanic,M,55-64,9,27717
1682,2010,NYC,Black Non Hispanic,M,45-54,21,27717
1689,2010,NYC,Hispanic,F,19-Oct,1,27717
1690,2010,NYC,Hispanic,F,65-74,1,27717
1691,2010,NYC,Hispanic,F,25-34,2,27717
1692,2010,NYC,Hispanic,F,55-64,6,27717
1693,2010,NYC,Hispanic,F,35-44,8,27717
1694,2010,NYC,Hispanic,F,45-54,12,27717
1701,2010,NYC,Hispanic,M,65-74,1,27717
1702,2010,NYC,Hispanic,M,20-24,3,27717
1703,2010,NYC,Hispanic,M,55-64,7,27717
1704,2010,NYC,Hispanic,M,25-34,9,27717
1705,2010,NYC,Hispanic,M,35-44,17,27717
1706,2010,NYC,Hispanic,M,45-54,27,27717
1718,2010,NYC,Not Stated,F,55-64,1,27717
1728,2010,NYC,Not Stated,M,25-34,1,27717
1729,2010,NYC,Not Stated,M,65-74,1,27717
1739,2010,NYC,Other Non Hispanic,F,19-Oct,1,27717
1740,2010,NYC,Other Non Hispanic,F,35-44,1,27717
1741,2010,NYC,Other Non Hispanic,F,45-54,1,27717
1753,2010,NYC,Other Non Hispanic,M,35-44,1,27717
1757,2010,NYC,White Non Hispanic,F,19-Oct,1,27717
1758,2010,NYC,White Non Hispanic,F,75-84,1,27717
1759,2010,NYC,White Non Hispanic,F,85+,1,27717
1760,2010,NYC,White Non Hispanic,F,20-24,2,27717
1761,2010,NYC,White Non Hispanic,F,65-74,3,27717
1762,2010,NYC,White Non Hispanic,F,55-64,8,27717
1763,2010,NYC,White Non Hispanic,F,25-34,10,27717
1764,2010,NYC,White Non Hispanic,F,35-44,13,27717
1765,2010,NYC,White Non Hispanic,F,45-54,21,27717
1769,2010,NYC,White Non Hispanic,M,9-Jan,1,27717
1770,2010,NYC,White Non Hispanic,M,65-74,1,27717
1771,2010,NYC,White Non Hispanic,M,75-84,1,27717
1772,2010,NYC,White Non Hispanic,M,19-Oct,2,27717
1773,2010,NYC,White Non Hispanic,M,20-24,12,27717
1774,2010,NYC,White Non Hispanic,M,55-64,21,27717
1775,2010,NYC,White Non Hispanic,M,25-34,36,27717
1776,2010,NYC,White Non Hispanic,M,35-44,42,27717
1777,2010,NYC,White Non Hispanic,M,45-54,47,27717
1785,2010,ROS,Black Non Hispanic,F,20-24,1,27717
1786,2010,ROS,Black Non Hispanic,F,25-34,1,27717
1787,2010,ROS,Black Non Hispanic,F,65-74,1,27717
1788,2010,ROS,Black Non Hispanic,F,55-64,3,27717
1789,2010,ROS,Black Non Hispanic,F,45-54,4,27717
1796,2010,ROS,Black Non Hispanic,M,19-Oct,1,27717
1797,2010,ROS,Black Non Hispanic,M,20-24,2,27717
1798,2010,ROS,Black Non Hispanic,M,35-44,2,27717
1799,2010,ROS,Black Non Hispanic,M,25-34,3,27717
1800,2010,ROS,Black Non Hispanic,M,55-64,4,27717
1801,2010,ROS,Black Non Hispanic,M,45-54,8,27717
1810,2010,ROS,Hispanic,F,35-44,1,27717
1811,2010,ROS,Hispanic,F,55-64,1,27717
1812,2010,ROS,Hispanic,F,20-24,2,27717
1813,2010,ROS,Hispanic,F,45-54,5,27717
1820,2010,ROS,Hispanic,M,19-Oct,1,27717
1821,2010,ROS,Hispanic,M,55-64,1,27717
1822,2010,ROS,Hispanic,M,20-24,2,27717
1823,2010,ROS,Hispanic,M,35-44,3,27717
1824,2010,ROS,Hispanic,M,25-34,4,27717
1825,2010,ROS,Hispanic,M,45-54,4,27717
1847,2010,ROS,Not Stated,M,25-34,1,27717
1859,2010,ROS,Other Non Hispanic,F,25-34,1,27717
1870,2010,ROS,Other Non Hispanic,M,20-24,1,27717
1871,2010,ROS,Other Non Hispanic,M,25-34,2,27717
1876,2010,ROS,White Non Hispanic,F,75-84,1,27717
1877,2010,ROS,White Non Hispanic,F,19-Oct,5,27717
1878,2010,ROS,White Non Hispanic,F,65-74,5,27717
1879,2010,ROS,White Non Hispanic,F,20-24,11,27717
1880,2010,ROS,White Non Hispanic,F,55-64,23,27717
1881,2010,ROS,White Non Hispanic,F,25-34,30,27717
1882,2010,ROS,White Non Hispanic,F,35-44,40,27717
1883,2010,ROS,White Non Hispanic,F,45-54,54,27717
1887,2010,ROS,White Non Hispanic,M,9-Jan,1,27717
1888,2010,ROS,White Non Hispanic,M,75-84,1,27717
1889,2010,ROS,White Non Hispanic,M,65-74,2,27717
1890,2010,ROS,White Non Hispanic,M,19-Oct,12,27717
1891,2010,ROS,White Non Hispanic,M,55-64,47,27717
1892,2010,ROS,White Non Hispanic,M,20-24,51,27717
1893,2010,ROS,White Non Hispanic,M,25-34,71,27717
1894,2010,ROS,White Non Hispanic,M,35-44,82,27717
1895,2010,ROS,White Non Hispanic,M,45-54,88,27717
1904,2011,NYC,Black Non Hispanic,F,25-34,4,27717
1905,2011,NYC,Black Non Hispanic,F,35-44,5,27717
1906,2011,NYC,Black Non Hispanic,F,45-54,9,27717
1907,2011,NYC,Black Non Hispanic,F,55-64,12,27717
1915,2011,NYC,Black Non Hispanic,M,20-24,1,27717
1916,2011,NYC,Black Non Hispanic,M,25-34,1,27717
1917,2011,NYC,Black Non Hispanic,M,35-44,11,27717
1918,2011,NYC,Black Non Hispanic,M,55-64,14,27717
1919,2011,NYC,Black Non Hispanic,M,45-54,19,27717
1928,2011,NYC,Hispanic,F,55-64,5,27717
1929,2011,NYC,Hispanic,F,25-34,6,27717
1930,2011,NYC,Hispanic,F,35-44,13,27717
1931,2011,NYC,Hispanic,F,45-54,13,27717
1938,2011,NYC,Hispanic,M,9-Jan,1,27717
1939,2011,NYC,Hispanic,M,20-24,3,27717
1940,2011,NYC,Hispanic,M,55-64,6,27717
1941,2011,NYC,Hispanic,M,25-34,19,27717
1942,2011,NYC,Hispanic,M,35-44,21,27717
1943,2011,NYC,Hispanic,M,45-54,21,27717
1954,2011,NYC,Not Stated,F,45-54,1,27717
1963,2011,NYC,Not Stated,M,20-24,1,27717
1964,2011,NYC,Not Stated,M,25-34,1,27717
1965,2011,NYC,Not Stated,M,45-54,1,27717
1966,2011,NYC,Not Stated,M,35-44,2,27717
1978,2011,NYC,Other Non Hispanic,F,25-34,1,27717
1990,2011,NYC,Other Non Hispanic,M,25-34,1,27717
1997,2011,NYC,White Non Hispanic,F,65-74,4,27717
1998,2011,NYC,White Non Hispanic,F,20-24,9,27717
1999,2011,NYC,White Non Hispanic,F,55-64,12,27717
2000,2011,NYC,White Non Hispanic,F,35-44,13,27717
2001,2011,NYC,White Non Hispanic,F,25-34,15,27717
2002,2011,NYC,White Non Hispanic,F,45-54,22,27717
2007,2011,NYC,White Non Hispanic,M,9-Jan,2,27717
2008,2011,NYC,White Non Hispanic,M,65-74,3,27717
2009,2011,NYC,White Non Hispanic,M,19-Oct,5,27717
2010,2011,NYC,White Non Hispanic,M,20-24,15,27717
2011,2011,NYC,White Non Hispanic,M,55-64,27,27717
2012,2011,NYC,White Non Hispanic,M,35-44,33,27717
2013,2011,NYC,White Non Hispanic,M,25-34,48,27717
2014,2011,NYC,White Non Hispanic,M,45-54,50,27717
2022,2011,ROS,Black Non Hispanic,F,20-24,2,27717
2023,2011,ROS,Black Non Hispanic,F,35-44,2,27717
2024,2011,ROS,Black Non Hispanic,F,25-34,3,27717
2025,2011,ROS,Black Non Hispanic,F,55-64,7,27717
2026,2011,ROS,Black Non Hispanic,F,45-54,9,27717
2034,2011,ROS,Black Non Hispanic,M,20-24,1,27717
2035,2011,ROS,Black Non Hispanic,M,55-64,3,27717
2036,2011,ROS,Black Non Hispanic,M,25-34,4,27717
2037,2011,ROS,Black Non Hispanic,M,35-44,4,27717
2038,2011,ROS,Black Non Hispanic,M,45-54,7,27717
2046,2011,ROS,Hispanic,F,65-74,1,27717
2047,2011,ROS,Hispanic,F,20-24,3,27717
2048,2011,ROS,Hispanic,F,25-34,3,27717
2049,2011,ROS,Hispanic,F,35-44,3,27717
2050,2011,ROS,Hispanic,F,45-54,6,27717
2058,2011,ROS,Hispanic,M,55-64,3,27717
2059,2011,ROS,Hispanic,M,20-24,8,27717
2060,2011,ROS,Hispanic,M,35-44,10,27717
2061,2011,ROS,Hispanic,M,25-34,11,27717
2062,2011,ROS,Hispanic,M,45-54,15,27717
2072,2011,ROS,Not Stated,F,25-34,1,27717
2073,2011,ROS,Not Stated,F,35-44,1,27717
2074,2011,ROS,Not Stated,F,45-54,1,27717
2096,2011,ROS,Other Non Hispanic,F,35-44,1,27717
2097,2011,ROS,Other Non Hispanic,F,25-34,2,27717
2108,2011,ROS,Other Non Hispanic,M,20-24,1,27717
2109,2011,ROS,Other Non Hispanic,M,35-44,1,27717
2113,2011,ROS,White Non Hispanic,F,75-84,2,27717
2114,2011,ROS,White Non Hispanic,F,85+,2,27717
2115,2011,ROS,White Non Hispanic,F,65-74,3,27717
2116,2011,ROS,White Non Hispanic,F,19-Oct,5,27717
2117,2011,ROS,White Non Hispanic,F,20-24,23,27717
2118,2011,ROS,White Non Hispanic,F,25-34,40,27717
2119,2011,ROS,White Non Hispanic,F,55-64,40,27717
2120,2011,ROS,White Non Hispanic,F,35-44,41,27717
2121,2011,ROS,White Non Hispanic,F,45-54,74,27717
2126,2011,ROS,White Non Hispanic,M,75-84,1,27717
2127,2011,ROS,White Non Hispanic,M,65-74,6,27717
2128,2011,ROS,White Non Hispanic,M,19-Oct,13,27717
2129,2011,ROS,White Non Hispanic,M,55-64,39,27717
2130,2011,ROS,White Non Hispanic,M,20-24,70,27717
2131,2011,ROS,White Non Hispanic,M,35-44,94,27717
2132,2011,ROS,White Non Hispanic,M,45-54,119,27717
2133,2011,ROS,White Non Hispanic,M,25-34,143,27717
2140,2012,NYC,Black Non Hispanic,F,20-24,1,27717
2141,2012,NYC,Black Non Hispanic,F,75-84,1,27717
2142,2012,NYC,Black Non Hispanic,F,25-34,3,27717
2143,2012,NYC,Black Non Hispanic,F,55-64,3,27717
2144,2012,NYC,Black Non Hispanic,F,35-44,12,27717
2145,2012,NYC,Black Non Hispanic,F,45-54,17,27717
2151,2012,NYC,Black Non Hispanic,M,19-Oct,1,27717
2152,2012,NYC,Black Non Hispanic,M,20-24,1,27717
2153,2012,NYC,Black Non Hispanic,M,65-74,1,27717
2154,2012,NYC,Black Non Hispanic,M,35-44,6,27717
2155,2012,NYC,Black Non Hispanic,M,25-34,12,27717
2156,2012,NYC,Black Non Hispanic,M,55-64,14,27717
2157,2012,NYC,Black Non Hispanic,M,45-54,20,27717
2164,2012,NYC,Hispanic,F,20-24,1,27717
2165,2012,NYC,Hispanic,F,65-74,1,27717
2166,2012,NYC,Hispanic,F,35-44,4,27717
2167,2012,NYC,Hispanic,F,55-64,5,27717
2168,2012,NYC,Hispanic,F,25-34,7,27717
2169,2012,NYC,Hispanic,F,45-54,7,27717
2174,2012,NYC,Hispanic,M,9-Jan,1,27717
2175,2012,NYC,Hispanic,M,65-74,2,27717
2176,2012,NYC,Hispanic,M,19-Oct,3,27717
2177,2012,NYC,Hispanic,M,20-24,8,27717
2178,2012,NYC,Hispanic,M,25-34,21,27717
2179,2012,NYC,Hispanic,M,55-64,22,27717
2180,2012,NYC,Hispanic,M,35-44,24,27717
2181,2012,NYC,Hispanic,M,45-54,35,27717
2192,2012,NYC,Not Stated,F,35-44,1,27717
2193,2012,NYC,Not Stated,F,45-54,1,27717
2204,2012,NYC,Not Stated,M,55-64,2,27717
2205,2012,NYC,Not Stated,M,45-54,3,27717
2217,2012,NYC,Other Non Hispanic,F,25-34,1,27717
2226,2012,NYC,Other Non Hispanic,M,19-Oct,1,27717
2227,2012,NYC,Other Non Hispanic,M,25-34,1,27717
2228,2012,NYC,Other Non Hispanic,M,35-44,1,27717
2229,2012,NYC,Other Non Hispanic,M,45-54,1,27717
2234,2012,NYC,White Non Hispanic,F,65-74,1,27717
2235,2012,NYC,White Non Hispanic,F,85+,1,27717
2236,2012,NYC,White Non Hispanic,F,<1,1,27717
2237,2012,NYC,White Non Hispanic,F,20-24,5,27717
2238,2012,NYC,White Non Hispanic,F,55-64,10,27717
2239,2012,NYC,White Non Hispanic,F,35-44,11,27717
2240,2012,NYC,White Non Hispanic,F,25-34,14,27717
2241,2012,NYC,White Non Hispanic,F,45-54,29,27717
2247,2012,NYC,White Non Hispanic,M,65-74,1,27717
2248,2012,NYC,White Non Hispanic,M,19-Oct,2,27717
2249,2012,NYC,White Non Hispanic,M,20-24,18,27717
2250,2012,NYC,White Non Hispanic,M,55-64,28,27717
2251,2012,NYC,White Non Hispanic,M,35-44,48,27717
2252,2012,NYC,White Non Hispanic,M,45-54,52,27717
2253,2012,NYC,White Non Hispanic,M,25-34,54,27717
2262,2012,ROS,Black Non Hispanic,F,25-34,2,27717
2263,2012,ROS,Black Non Hispanic,F,45-54,3,27717
2264,2012,ROS,Black Non Hispanic,F,55-64,3,27717
2265,2012,ROS,Black Non Hispanic,F,35-44,4,27717
2270,2012,ROS,Black Non Hispanic,M,9-Jan,1,27717
2271,2012,ROS,Black Non Hispanic,M,85+,1,27717
2272,2012,ROS,Black Non Hispanic,M,20-24,2,27717
2273,2012,ROS,Black Non Hispanic,M,65-74,2,27717
2274,2012,ROS,Black Non Hispanic,M,35-44,4,27717
2275,2012,ROS,Black Non Hispanic,M,25-34,5,27717
2276,2012,ROS,Black Non Hispanic,M,55-64,7,27717
2277,2012,ROS,Black Non Hispanic,M,45-54,8,27717
2284,2012,ROS,Hispanic,F,25-34,1,27717
2285,2012,ROS,Hispanic,F,65-74,1,27717
2286,2012,ROS,Hispanic,F,45-54,2,27717
2287,2012,ROS,Hispanic,F,55-64,2,27717
2288,2012,ROS,Hispanic,F,20-24,3,27717
2289,2012,ROS,Hispanic,F,35-44,3,27717
2296,2012,ROS,Hispanic,M,65-74,1,27717
2297,2012,ROS,Hispanic,M,55-64,2,27717
2298,2012,ROS,Hispanic,M,35-44,5,27717
2299,2012,ROS,Hispanic,M,20-24,7,27717
2300,2012,ROS,Hispanic,M,25-34,7,27717
2301,2012,ROS,Hispanic,M,45-54,11,27717
2312,2012,ROS,Not Stated,F,35-44,1,27717
2323,2012,ROS,Not Stated,M,25-34,1,27717
2324,2012,ROS,Not Stated,M,35-44,1,27717
2346,2012,ROS,Other Non Hispanic,M,65-74,1,27717
2347,2012,ROS,Other Non Hispanic,M,20-24,2,27717
2348,2012,ROS,Other Non Hispanic,M,35-44,4,27717
2353,2012,ROS,White Non Hispanic,F,85+,1,27717
2354,2012,ROS,White Non Hispanic,F,75-84,3,27717
2355,2012,ROS,White Non Hispanic,F,65-74,8,27717
2356,2012,ROS,White Non Hispanic,F,20-24,19,27717
2357,2012,ROS,White Non Hispanic,F,35-44,44,27717
2358,2012,ROS,White Non Hispanic,F,25-34,49,27717
2359,2012,ROS,White Non Hispanic,F,55-64,53,27717
2360,2012,ROS,White Non Hispanic,F,45-54,64,27717
2363,2012,ROS,White Non Hispanic,M,<1,1,27717
2364,2012,ROS,White Non Hispanic,M,75-84,2,27717
2365,2012,ROS,White Non Hispanic,M,85+,2,27717
2366,2012,ROS,White Non Hispanic,M,65-74,8,27717
2367,2012,ROS,White Non Hispanic,M,19-Oct,12,27717
2368,2012,ROS,White Non Hispanic,M,55-64,56,27717
2369,2012,ROS,White Non Hispanic,M,20-24,64,27717
2370,2012,ROS,White Non Hispanic,M,35-44,104,27717
2371,2012,ROS,White Non Hispanic,M,45-54,117,27717
2372,2012,ROS,White Non Hispanic,M,25-34,150,27717
2380,2013,NYC,Black Non Hispanic,F,20-24,3,27717
2381,2013,NYC,Black Non Hispanic,F,25-34,3,27717
2382,2013,NYC,Black Non Hispanic,F,35-44,3,27717
2383,2013,NYC,Black Non Hispanic,F,55-64,10,27717
2384,2013,NYC,Black Non Hispanic,F,45-54,12,27717
2390,2013,NYC,Black Non Hispanic,M,20-24,1,27717
2391,2013,NYC,Black Non Hispanic,M,25-34,1,27717
2392,2013,NYC,Black Non Hispanic,M,19-Oct,2,27717
2393,2013,NYC,Black Non Hispanic,M,65-74,4,27717
2394,2013,NYC,Black Non Hispanic,M,35-44,6,27717
2395,2013,NYC,Black Non Hispanic,M,45-54,16,27717
2396,2013,NYC,Black Non Hispanic,M,55-64,17,27717
2402,2013,NYC,Hispanic,F,19-Oct,1,27717
2403,2013,NYC,Hispanic,F,65-74,1,27717
2404,2013,NYC,Hispanic,F,20-24,3,27717
2405,2013,NYC,Hispanic,F,35-44,7,27717
2406,2013,NYC,Hispanic,F,55-64,9,27717
2407,2013,NYC,Hispanic,F,45-54,11,27717
2408,2013,NYC,Hispanic,F,25-34,12,27717
2415,2013,NYC,Hispanic,M,20-24,5,27717
2416,2013,NYC,Hispanic,M,65-74,5,27717
2417,2013,NYC,Hispanic,M,55-64,18,27717
2418,2013,NYC,Hispanic,M,25-34,22,27717
2419,2013,NYC,Hispanic,M,35-44,24,27717
2420,2013,NYC,Hispanic,M,45-54,37,27717
2429,2013,NYC,Not Stated,F,35-44,1,27717
2430,2013,NYC,Not Stated,F,45-54,1,27717
2431,2013,NYC,Not Stated,F,55-64,1,27717
2432,2013,NYC,Not Stated,F,65-74,1,27717
2440,2013,NYC,Not Stated,M,20-24,1,27717
2441,2013,NYC,Not Stated,M,65-74,1,27717
2442,2013,NYC,Not Stated,M,35-44,2,27717
2443,2013,NYC,Not Stated,M,45-54,4,27717
2444,2013,NYC,Not Stated,M,55-64,5,27717
2455,2013,NYC,Other Non Hispanic,F,45-54,1,27717
2456,2013,NYC,Other Non Hispanic,F,55-64,1,27717
2465,2013,NYC,Other Non Hispanic,M,20-24,1,27717
2466,2013,NYC,Other Non Hispanic,M,25-34,1,27717
2467,2013,NYC,Other Non Hispanic,M,65-74,1,27717
2468,2013,NYC,Other Non Hispanic,M,35-44,4,27717
2474,2013,NYC,White Non Hispanic,F,20-24,3,27717
2475,2013,NYC,White Non Hispanic,F,75-84,3,27717
2476,2013,NYC,White Non Hispanic,F,65-74,5,27717
2477,2013,NYC,White Non Hispanic,F,25-34,7,27717
2478,2013,NYC,White Non Hispanic,F,35-44,14,27717
2479,2013,NYC,White Non Hispanic,F,55-64,15,27717
2480,2013,NYC,White Non Hispanic,F,45-54,20,27717
2484,2013,NYC,White Non Hispanic,M,19-Oct,1,27717
2485,2013,NYC,White Non Hispanic,M,75-84,1,27717
2486,2013,NYC,White Non Hispanic,M,85+,1,27717
2487,2013,NYC,White Non Hispanic,M,65-74,5,27717
2488,2013,NYC,White Non Hispanic,M,20-24,13,27717
2489,2013,NYC,White Non Hispanic,M,55-64,32,27717
2490,2013,NYC,White Non Hispanic,M,35-44,35,27717
2491,2013,NYC,White Non Hispanic,M,25-34,45,27717
2492,2013,NYC,White Non Hispanic,M,45-54,50,27717
2500,2013,ROS,Black Non Hispanic,F,9-Jan,1,27717
2501,2013,ROS,Black Non Hispanic,F,25-34,2,27717
2502,2013,ROS,Black Non Hispanic,F,35-44,2,27717
2503,2013,ROS,Black Non Hispanic,F,55-64,7,27717
2504,2013,ROS,Black Non Hispanic,F,45-54,8,27717
2511,2013,ROS,Black Non Hispanic,M,65-74,2,27717
2512,2013,ROS,Black Non Hispanic,M,20-24,3,27717
2513,2013,ROS,Black Non Hispanic,M,25-34,4,27717
2514,2013,ROS,Black Non Hispanic,M,35-44,8,27717
2515,2013,ROS,Black Non Hispanic,M,55-64,12,27717
2516,2013,ROS,Black Non Hispanic,M,45-54,13,27717
2524,2013,ROS,Hispanic,F,20-24,1,27717
2525,2013,ROS,Hispanic,F,55-64,1,27717
2526,2013,ROS,Hispanic,F,25-34,2,27717
2527,2013,ROS,Hispanic,F,35-44,4,27717
2528,2013,ROS,Hispanic,F,45-54,5,27717
2534,2013,ROS,Hispanic,M,65-74,1,27717
2535,2013,ROS,Hispanic,M,20-24,4,27717
2536,2013,ROS,Hispanic,M,19-Oct,5,27717
2537,2013,ROS,Hispanic,M,55-64,6,27717
2538,2013,ROS,Hispanic,M,45-54,13,27717
2539,2013,ROS,Hispanic,M,35-44,16,27717
2540,2013,ROS,Hispanic,M,25-34,19,27717
2561,2013,ROS,Not Stated,M,20-24,1,27717
2562,2013,ROS,Not Stated,M,55-64,1,27717
2584,2013,ROS,Other Non Hispanic,M,35-44,1,27717
2585,2013,ROS,Other Non Hispanic,M,20-24,2,27717
2586,2013,ROS,Other Non Hispanic,M,25-34,3,27717
2591,2013,ROS,White Non Hispanic,F,75-84,6,27717
2592,2013,ROS,White Non Hispanic,F,19-Oct,7,27717
2593,2013,ROS,White Non Hispanic,F,65-74,8,27717
2594,2013,ROS,White Non Hispanic,F,20-24,26,27717
2595,2013,ROS,White Non Hispanic,F,55-64,50,27717
2596,2013,ROS,White Non Hispanic,F,25-34,51,27717
2597,2013,ROS,White Non Hispanic,F,35-44,52,27717
2598,2013,ROS,White Non Hispanic,F,45-54,98,27717
2600,2013,ROS,White Non Hispanic,M,9-Jan,1,27717
2601,2013,ROS,White Non Hispanic,M,75-84,1,27717
2602,2013,ROS,White Non Hispanic,M,85+,1,27717
2603,2013,ROS,White Non Hispanic,M,<1,1,27717
2604,2013,ROS,White Non Hispanic,M,19-Oct,14,27717
2605,2013,ROS,White Non Hispanic,M,65-74,14,27717
2606,2013,ROS,White Non Hispanic,M,55-64,78,27717
2607,2013,ROS,White Non Hispanic,M,20-24,93,27717
