,Year,Region,Race_or_Ethnicity,Sex,Age_Group,Opioid_Poisoning_Deaths,total
283,2004,NYC,Hispanic,M,20-24,7,27717
284,2004,NYC,Hispanic,M,55-64,8,27717
285,2004,NYC,Hispanic,M,45-54,21,27717
286,2004,NYC,Hispanic,M,35-44,41,27717
296,2004,NYC,Not Stated,F,25-34,1,27717
297,2004,NYC,Not Stated,F,45-54,1,27717
298,2004,NYC,Not Stated,F,35-44,2,27717
307,2004,NYC,Not Stated,M,20-24,1,27717
308,2004,NYC,Not Stated,M,35-44,1,27717
309,2004,NYC,Not Stated,M,55-64,1,27717
310,2004,NYC,Not Stated,M,45-54,3,27717
322,2004,NYC,Other Non Hispanic,F,25-34,1,27717
332,2004,NYC,Other Non Hispanic,M,35-44,1,27717
333,2004,NYC,Other Non Hispanic,M,45-54,2,27717
334,2004,NYC,Other Non Hispanic,M,25-34,3,27717
339,2004,NYC,White Non Hispanic,F,65-74,1,27717
340,2004,NYC,White Non Hispanic,F,85+,1,27717
341,2004,NYC,White Non Hispanic,F,19-Oct,2,27717
342,2004,NYC,White Non Hispanic,F,20-24,5,27717
343,2004,NYC,White Non Hispanic,F,25-34,6,27717
344,2004,NYC,White Non Hispanic,F,55-64,10,27717
345,2004,NYC,White Non Hispanic,F,35-44,15,27717
346,2004,NYC,White Non Hispanic,F,45-54,20,27717
351,2004,NYC,White Non Hispanic,M,75-84,1,27717
352,2004,NYC,White Non Hispanic,M,65-74,2,27717
353,2004,NYC,White Non Hispanic,M,19-Oct,4,27717
354,2004,NYC,White Non Hispanic,M,20-24,11,27717
355,2004,NYC,White Non Hispanic,M,55-64,15,27717
356,2004,NYC,White Non Hispanic,M,25-34,28,27717
357,2004,NYC,White Non Hispanic,M,45-54,40,27717
358,2004,NYC,White Non Hispanic,M,35-44,53,27717
369,2004,ROS,Black Non Hispanic,F,55-64,1,27717
370,2004,ROS,Black Non Hispanic,F,35-44,2,27717
381,2004,ROS,Black Non Hispanic,M,35-44,2,27717
382,2004,ROS,Black Non Hispanic,M,45-54,2,27717
394,2004,ROS,Hispanic,F,45-54,2,27717
403,2004,ROS,Hispanic,M,20-24,1,27717
404,2004,ROS,Hispanic,M,25-34,3,27717
405,2004,ROS,Hispanic,M,35-44,5,27717
406,2004,ROS,Hispanic,M,45-54,5,27717
427,2004,ROS,Not Stated,M,19-Oct,1,27717
